Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
337,0,0,0,0,0,0,1,-1
338,1,0,0,0,0,0,-3,11
339,0,1,0,0,0,1,0,-9
340,1,0,0,0,-2,0,-7,4
341,1,-1,1,-1,1,1,-4,11
343,0,1,0,0,0,0,1,-3
344,-1,-1,0,0,0,1,0,-1
345,1,0,0,0,0,2,-1,9
347,0,2,-1,0,1,0,0,3
348,0,1,0,0,0,0,-3,8
349,-1,1,1,0,0,0,-6,6
350,0,1,0,1,0,1,0,1
351,-1,0,-1,0,1,-4,4,-5
352,0,0,0,0,1,-1,1,-2
353,0,0,0,1,0,0,1,3
354,0,0,1,0,0,6,-5,15
355,0,0,1,1,-1,2,0,0
356,0,0,0,0,-1,5,-3,2
357,1,0,0,0,0,2,-1,13
358,1,0,0,0,0,0,-1,-1
359,0,1,0,0,0,0,-5,7
360,0,1,0,0,-1,9,-7,-1
361,1,-1,1,0,0,-13,1,-24
362,-1,-1,0,0,0,-1,2,-4
363,0,0,0,0,0,1,0,1
364,0,1,0,0,0,2,-1,17
365,1,0,0,0,1,-2,2,-10
366,0,1,0,0,0,0,1,8
367,-1,-1,0,0,0,0,1,0
368,0,1,0,0,0,0,-5,8
370,0,0,0,0,0,-1,2,-3
371,0,1,0,0,0,1,0,1
372,0,1,0,0,0,0,-1,-1
373,0,0,0,0,0,1,0,7
374,2,0,-1,0,-1,-11,2,-12
375,0,1,0,0,0,0,1,1
376,0,1,0,1,0,1,0,12
377,0,0,1,0,0,-1,2,-2
378,-1,-1,0,0,0,1,0,4
379,0,0,0,0,0,-1,2,-1
380,0,1,0,0,0,0,-1,10
381,0,1,0,0,0,1,0,5
382,0,2,-1,-1,0,0,-2,6
383,1,-1,1,0,0,0,-1,0
384,-1,1,0,0,0,1,0,0
386,3,-2,-3,1,0,0,0,0
387,0,0,0,0,1,-1,1,-1
388,1,0,0,0,0,5,-5,0
389,1,0,0,0,0,0,0,2
390,-1,1,1,0,0,0,1,-3
392,0,0,0,0,0,3,-2,9
393,0,0,0,0,0,0,-2,7
394,0,0,0,0,1,-3,3,-2
395,0,0,-1,-1,0,3,-2,4
396,-1,-1,0,0,0,-2,2,-2
397,0,0,0,0,0,-3,2,-3
398,-1,-1,1,0,0,0,1,-2
399,1,-1,1,-1,1,0,0,3
400,1,0,0,0,0,2,-1,8
401,1,0,0,2,-1,-1,3,-5
402,-1,-1,0,0,0,-1,2,-3
403,-1,0,1,0,0,1,0,4
404,0,1,0,1,0,0,1,-2
405,-1,0,0,0,1,2,-2,4
408,1,1,-1,-1,-1,1,1,-3
409,-2,-2,-1,0,1,-3,1,-2
410,1,1,-2,-2,0,0,1,-5
411,0,0,1,0,0,-1,2,-6
412,-1,-1,0,1,0,0,1,-3
419,0,0,-1,-1,0,0,1,-2
420,0,0,1,1,-1,2,0,4
421,1,-1,1,0,0,3,-2,9
423,0,0,0,1,0,1,0,0
424,-1,-1,0,-1,2,-3,2,-2
425,-1,-1,1,0,0,1,0,0
426,0,0,0,1,0,-1,2,2
427,0,0,1,1,-1,-1,-17,10
428,0,0,-1,-1,0,0,-3,11
430,0,1,0,0,0,0,1,-1
431,0,0,0,1,0,1,0,3
432,1,0,0,0,0,3,-2,11
433,-2,-2,1,0,0,-2,3,1
435,-1,-1,-1,2,0,0,1,-4
436,0,1,0,0,0,5,-4,15
437,-1,2,0,0,0,0,1,-1
439,-1,-1,-1,-1,0,-1,2,-1
440,-1,-1,0,0,0,-3,4,-5
441,1,1,-1,-1,1,1,-1,-1
442,0,0,0,0,0,0,1,-1
443,-1,1,0,0,1,-2,2,-1
444,-2,-2,0,0,1,-1,1,-2
445,0,1,0,1,0,-2,3,-7
446,3,-3,1,0,0,1,0,1
447,-1,-1,0,0,0,0,1,-2
448,0,0,0,0,-1,10,-8,6
449,-1,-1,0,0,0,-1,2,-9
450,-1,-1,-1,-1,0,-4,2,-5
451,0,0,0,0,0,-3,2,-3
452,-1,-1,0,0,1,2,-2,-1
453,-1,-1,-1,-1,0,0,1,-7
454,0,0,0,0,1,-1,1,-2
455,1,1,-1,-1,0,1,-1,3
456,0,0,1,0,0,0,1,-6
457,1,-1,1,0,0,-1,2,-4
458,-1,-1,0,0,1,-4,4,-4
459,-1,-1,0,0,-1,-1,3,-7
460,-1,-1,1,0,0,0,1,-2
462,-1,-1,0,0,0,-4,5,-9
463,1,0,0,0,0,-1,2,-4
464,-1,-1,0,0,0,0,1,-1
465,0,0,-1,-1,1,-2,2,-6
466,0,0,1,0,0,-1,2,-5
467,-1,-1,0,0,0,1,0,-3
468,-1,-1,-1,-1,-1,1,1,-2
469,-1,-1,0,0,0,-1,2,-4
470,-1,-1,-1,-1,0,0,1,-6
471,0,0,0,0,0,-3,3,-3
472,0,0,0,0,0,0,1,-1
473,0,0,0,0,0,0,1,0
474,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,1
476,-1,-1,0,0,0,1,0,1
477,0,0,0,0,0,1,0,-3
478,-2,-2,0,0,1,-1,1,-2
479,0,0,0,0,-1,0,2,-5
480,0,0,0,0,0,-1,2,-4
481,0,0,0,0,0,-2,3,-2
482,-1,-1,0,0,0,0,1,-1
483,0,0,0,0,0,-1,2,-7
484,0,0,0,0,0,0,1,-3
485,-1,-1,-1,-1,1,-2,1,-1
486,-1,1,1,0,0,-2,3,-4
487,0,0,-1,-1,0,0,1,-3
488,-1,-1,0,0,0,-2,3,-4
489,0,0,0,0,1,-9,1,-9
490,-1,-1,-1,-1,0,-1,2,-3
491,1,0,0,0,0,1,0,4
492,-1,-1,-1,0,0,-1,2,3
494,0,0,0,0,0,0,0,4
495,0,0,0,0,1,-2,2,-4
496,-1,-1,-1,-1,0,-1,2,-2
497,-1,-1,0,0,0,0,1,-1
498,0,0,-1,-1,0,0,1,0
499,-2,-2,-1,-1,1,-4,4,-4
500,-2,0,-1,-1,0,-1,2,-8
501,-2,-2,0,0,0,-2,3,-5
503,-2,-2,1,1,-1,0,2,-5
504,0,0,-1,-1,0,0,1,-1
505,-1,-1,0,0,0,-1,2,-5
506,0,2,-1,-1,0,3,-2,10
507,-2,1,0,0,1,-2,2,-5
508,1,0,0,1,0,3,-2,7
