data,model,RMSE
Test,LSTM,2.5124026064074245
Test,LSTM,2.5845700006252708
Test,LSTM,2.485090245095004
Test,LSTM,2.56439465799356
Test,LSTM,2.555460615373603
Test,LSTM,2.540627410962058
Test,LSTM,2.568550764055817
Test,LSTM,2.513760852528712
Test,LSTM,2.520682434671954
Test,LSTM,2.5427778066983864
Test,LSTM,2.4955323602795865
Test,LSTM,2.5781410213436713
Test,LSTM,2.472998745342114
Test,LSTM,2.5729458379790078
Test,LSTM,2.490833357037463
Test,LSTM,2.487164182125056
Test,LSTM,2.499215818510123
Test,LSTM,2.5307371910408984
Test,LSTM,2.5330834675422698
Test,LSTM,2.529418906849332
Test,LSTM,2.451960514488329
Test,LSTM,2.5096996677529955
Test,LSTM,2.4907045632156923
Train,LSTM,2.578719017061167
Train,LSTM,2.630284302772801
Train,LSTM,2.5571251756316897
Train,LSTM,2.5317654688518214
Train,LSTM,2.5764611281469674
Train,LSTM,2.5318103508026155
Train,LSTM,2.529181313573189
Train,LSTM,2.5241125807797435
Train,LSTM,2.6443504943246774
Train,LSTM,2.5095687412958982
Train,LSTM,2.5440715982269433
Train,LSTM,2.566056201382817
Train,LSTM,2.566069107072423
Train,LSTM,2.560205646560526
Train,LSTM,2.557959782168274
Train,LSTM,2.5342049467835595
Train,LSTM,2.542397431430913
Train,LSTM,2.528303537818786
Train,LSTM,2.608859358474947
Train,LSTM,2.5483027246460916
Train,LSTM,2.59756558696052
Train,LSTM,2.527896383572019
Train,LSTM,2.5269142384988017
Train,LSTM,2.533200704473746
Train,LSTM,2.585444250407339
Train,LSTM,2.544748484033172
Train,LSTM,2.5417592096326
Train,LSTM,2.5358965820286836
Train,LSTM,2.5361151802752873
Train,LSTM,2.5676667862816256
